Date,Symbol,rv5_ss,open_time,rk_twoscale,nobs,close_price,bv_ss,rv10,open_price,bv,close_time,rv5,rsv_ss,medrv,rsv,open_to_close,rk_th2,rv10_ss,rk_parzen
2009-03-18 00:00:00+00:00,.OMXHPI,0.000335201,100001,0.000323647,1043,4637.9,0.00023427099999999998,0.000375169,4633.94,0.00023427099999999998,182935,0.000335201,0.000124793,0.000124805,0.000124793,0.0008541989999999999,0.000337994,0.000375169,0.000237166
2009-03-19 00:00:00+00:00,.OMXHPI,0.000432409,100000,0.000416387,1043,4730.52,0.000461865,0.000385504,4637.9,0.000461865,182936,0.000432409,0.000195448,0.000302562,0.000195448,0.019773455,0.00042237800000000005,0.000385504,0.000223345
2009-03-20 00:00:00+00:00,.OMXHPI,0.000364466,100035,0.000311859,1040,4624.68,0.000250905,0.000342274,4678.44,0.000250905,182936,0.000364466,0.00019088099999999998,0.000123333,0.00019088099999999998,-0.011557541999999999,0.00031980400000000003,0.000342274,0.000345945
2009-03-23 00:00:00+00:00,.OMXHPI,0.000170656,100251,0.00020553799999999998,951,4724.43,0.000148603,0.00019909099999999998,4661.15,0.000148603,183201,0.000170656,6.929999999999999e-05,6.36e-05,6.929999999999999e-05,0.01348472,0.000209985,0.00019909099999999998,0.000215805
2009-03-24 00:00:00+00:00,.OMXHPI,0.000442134,100001,0.000375615,1024,4716.75,0.000256439,0.000399344,4724.43,0.000256439,182947,0.000442134,0.00012666,0.000147582,0.00012666,-0.001626916,0.00039685699999999997,0.000399344,0.000256318
2009-03-25 00:00:00+00:00,.OMXHPI,0.00019367,100001,0.000200016,1041,4801.77,0.000197811,0.000225784,4716.75,0.000197811,182945,0.00019367,6.37e-05,8.63e-05,6.37e-05,0.017864597,0.00020397,0.000225784,0.00032965800000000003
2009-03-26 00:00:00+00:00,.OMXHPI,0.000260525,100000,0.000252428,1041,4751.83,0.000261937,0.000235391,4801.77,0.000261937,182945,0.000260525,0.000149025,0.000146527,0.000149025,-0.010454793,0.000260119,0.000235391,0.00030251
2009-03-27 00:00:00+00:00,.OMXHPI,0.00016948099999999997,100001,0.000181212,1044,4709.18,0.000172645,0.000211344,4751.83,0.000172645,182945,0.00016948099999999997,9.66e-05,9.470000000000001e-05,9.66e-05,-0.009016012,0.000181475,0.000211344,0.000121915
2009-03-30 00:00:00+01:00,.OMXHPI,0.00033022300000000004,110035,0.00027751,1042,4501.54,0.000253703,0.000445535,4682.07,0.000253703,193035,0.00033022300000000004,0.000273848,6.0299999999999995e-05,0.000273848,-0.039320759,0.000295525,0.000445535,0.00074832
2009-03-31 00:00:00+01:00,.OMXHPI,0.00037118599999999997,110001,0.00036471199999999995,1038,4601.24,0.000302874,0.00048312699999999997,4501.54,0.000302874,192937,0.00037118599999999997,0.000132824,0.000164565,0.000132824,0.021906272,0.000395755,0.00048312699999999997,0.000245982
2009-04-01 00:00:00+01:00,.OMXHPI,0.00042291400000000004,110002,0.000294549,1043,4612.23,0.000423027,0.000554248,4601.24,0.000423027,192930,0.00042291400000000004,0.00022248099999999999,0.00017077299999999999,0.00022248099999999999,0.0023856389999999997,0.0003253,0.000554248,0.0008507489999999999
2009-04-02 00:00:00+01:00,.OMXHPI,0.000410759,110030,0.000380523,1041,4909.86,0.000361584,0.000470169,4668.41,0.000361584,192930,0.000410759,8.55e-05,0.000154286,8.55e-05,0.050426886,0.000391886,0.000470169,0.0007422539999999999
2009-04-03 00:00:00+01:00,.OMXHPI,0.000400633,110001,0.000442067,1043,4883.6,0.000355247,0.000376595,4909.86,0.000355247,192930,0.000400633,0.00025172,0.000181471,0.00025172,-0.005362775,0.000451552,0.000376595,0.000241253
2009-04-06 00:00:00+01:00,.OMXHPI,0.000263167,110030,0.000261664,1041,4948.9,0.000200906,0.000300467,4923.45,0.000200906,192931,0.000263167,0.00011104299999999999,9.08e-05,0.00011104299999999999,0.005155825,0.000272004,0.000300467,0.0005841080000000001
2009-04-07 00:00:00+01:00,.OMXHPI,0.00022238799999999999,110001,0.00026491,1042,4860.57,0.000203035,0.000248518,4948.9,0.000203035,192930,0.00022238799999999999,0.000129198,0.00011736799999999999,0.000129198,-0.018009615,0.00026756,0.000248518,0.000395454
2009-04-08 00:00:00+01:00,.OMXHPI,0.0007766219999999999,110002,0.000536818,1042,4851.51,0.000337428,0.000936867,4860.57,0.000337428,192931,0.0007766219999999999,0.000635347,0.00010888,0.000635347,-0.001865718,0.000610684,0.000936867,0.000894178
2009-04-09 00:00:00+01:00,.OMXHPI,0.000167497,110040,0.000190861,1041,4994.21,0.000154359,0.000190523,4879.13,0.000154359,192940,0.000167497,4.6299999999999994e-05,7.759999999999999e-05,4.6299999999999994e-05,0.023312316,0.00019275,0.000190523,0.00022254099999999998
